Model,MFG,Mileage,Listing_price (lacs),Original_price (lacs),Age,Price_per_km,Brand_BMW,Brand_BYD,Brand_Bentley,Brand_Chevrolet,Brand_Citroen,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Isuzu,Brand_Jaguar,Brand_Jeep,Brand_Kia,Brand_Land,Brand_Lexus,Brand_MG,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Rolls-Royce,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,Transmission_Manual,City_Bangalore,City_Chandigarh,City_Chennai,City_Coimbatore,City_Faridabad,City_Ghaziabad,City_Gurgaon,City_Hyderabad,City_Jaipur,City_Mohali,City_New Delhi,City_Noida,City_Pune,City_Zirakpur
Maruti Celerio VXI CNG,1.1444961064694765,0.020251632470946298,-0.48122318658010094,-0.48122318658010094,-1.1444961064694712,-0.08175800537449288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skoda Slavia 1.0 TSI Ambition AT BSVI,1.1444961064694765,-1.1151252885690826,0.1495510687485175,0.1495510687485175,-1.1444961064694712,-0.00013936036510757527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Baleno 1.2 CVT Alpha,0.3106001082252629,1.1880883519682894,-0.43201384751191085,-0.43201384751191085,-0.31060010822525735,-0.08613423479483887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,1.4224614392175476,-0.8108146780317614,4.175769719782252,4.175769719782252,-1.4224614392175423,0.22843072970830072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti FRONX Delta,1.7004267719656188,-1.4988550015819282,-0.1385472436143409,-0.1385472436143409,-1.7004267719656136,0.06208387699214145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Celerio VXI,1.7004267719656188,-1.553302733369243,-0.3577524812817331,-0.3577524812817331,-1.7004267719656136,0.04040170250125932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda City V MT,0.8665307737214053,-0.6019740629571292,-0.07412774519780109,-0.07412774519780109,-0.8665307737213999,-0.05301458721041533,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra Thar LX 4WD Hard Top BSVI,1.4224614392175476,-1.1953499191313235,0.41796564548409987,0.41796564548409987,-1.4224614392175423,0.04085566507392498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra XUV300 W8 Option AMT BSVI,0.8665307737214053,-0.3036303271362261,-0.02939198240853737,-0.02939198240853737,-0.8665307737213999,-0.059638516727300035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Kiger RXZ,0.8665307737214053,-0.6560041135142948,-0.3461211829565245,-0.3461211829565245,-0.8665307737213999,-0.06606072244863795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Ecosport 1.5 TDCi Titanium BSIV,-0.8012612227670218,1.1880883519682894,-0.4946439154168801,-0.4946439154168801,0.8012612227670277,-0.0874590206982158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
